system,cohort,realization,local_jsd,simple_shape_jsd,cluster_locked_jsd,simple_improves_local,simple_beats_cluster_locked
RXC J0032.1+1808,holdout,19,0.14704429787664292,0.10343138817977234,0.06046814410676282,True,False
RXC J0032.1+1808,holdout,20,0.14355818144667734,0.09937053155589294,0.05806394941063815,True,False
RXC J0032.1+1808,holdout,21,0.14786554487565812,0.10397947012127831,0.06158996971231755,True,False
RXC J0032.1+1808,holdout,22,0.14460282940155758,0.10066249362238297,0.05843561598949929,True,False
RXC J0032.1+1808,holdout,23,0.14682843938759535,0.10244253544462922,0.06090655542208606,True,False
RXC J0032.1+1808,holdout,24,0.1468863139460303,0.103407770088524,0.060634127730070375,True,False
RXC J0032.1+1808,holdout,25,0.14423838110705353,0.10000002303512454,0.05745309982938036,True,False
RXC J0032.1+1808,holdout,26,0.14881690566413847,0.10471244744975966,0.06229754433640939,True,False
RXC J0032.1+1808,holdout,27,0.14710387693501562,0.1029976058372855,0.060789016322850525,True,False
RXC J0032.1+1808,holdout,28,0.14255421255561795,0.09849990630277308,0.057354879210219374,True,False
RXC J0032.1+1808,holdout,29,0.14621774853144187,0.10320031252593523,0.06159517690848443,True,False
RXC J0032.1+1808,holdout,30,0.1435701707600448,0.10122748346414379,0.06085739416554589,True,False
RXC J0032.1+1808,holdout,31,0.1471877860809781,0.10214621728238886,0.056244146406836476,True,False
RXC J0032.1+1808,holdout,32,0.14561203604486556,0.10218888061370733,0.060188788810401864,True,False
RXC J0032.1+1808,holdout,33,0.14277486649719667,0.10015972742937787,0.059565871541168554,True,False
RXC J0032.1+1808,holdout,34,0.1462346653454351,0.10309550871329956,0.061315836801404455,True,False
RXC J0032.1+1808,holdout,35,0.14516694906951327,0.10218335055113617,0.06138596249580249,True,False
RXC J0032.1+1808,holdout,36,0.14432565356968025,0.10082362903291264,0.059066838644837596,True,False
RXC J0032.1+1808,holdout,37,0.14519700168315197,0.10130657310793006,0.05846782873675552,True,False
RXC J0032.1+1808,holdout,38,0.14575427162047624,0.10186045573315657,0.05901262013327422,True,False
RXC J0032.1+1808,holdout,39,0.14658313933715122,0.10323066852044833,0.06226976858772368,True,False
RXC J0032.1+1808,holdout,40,0.1464492240168559,0.10307852934164766,0.061504116741991965,True,False
RXC J0032.1+1808,holdout,41,0.14732427039282914,0.10489298317249346,0.0648433531030084,True,False
RXC J0032.1+1808,holdout,42,0.14662659718965718,0.10459982914775356,0.06338973463086427,True,False
RXC J0032.1+1808,holdout,43,0.1467163078930238,0.10317673434212568,0.06184402606292218,True,False
RXC J0032.1+1808,holdout,44,0.14865577796180038,0.10397790444355014,0.0611445986589614,True,False
RXC J0032.1+1808,holdout,45,0.14596346759329565,0.10171078432905113,0.05906028831347626,True,False
RXC J0032.1+1808,holdout,46,0.14826782064568766,0.10364538202503004,0.05982052276736952,True,False
RXC J0032.1+1808,holdout,47,0.14647329992065453,0.10329769376524198,0.06048058539076328,True,False
RXC J0032.1+1808,holdout,48,0.1436772446381,0.1018278411991102,0.06158681648890529,True,False
RXC J0032.1+1808,holdout,49,0.14261585440796004,0.10110403057747867,0.062283418084535386,True,False
RXC J0032.1+1808,holdout,50,0.14595976462960797,0.10286607935036499,0.061406636257554145,True,False
RXC J0032.1+1808,holdout,51,0.14730455171556844,0.10416886304253817,0.061930530571520565,True,False
RXC J0032.1+1808,holdout,52,0.14659660471633704,0.10294837650436917,0.06094882412398413,True,False
RXC J0032.1+1808,holdout,53,0.14415457367322465,0.10212585909989486,0.06233071913473498,True,False
RXC J0032.1+1808,holdout,54,0.14359065240474703,0.10041049756518472,0.060051239695126296,True,False
