system,cohort,candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
RXC J0032.1+1808,holdout,field_weighted__w20__f0.2,field_weighted,20.0,0.2,0.049327239395260666,0.7873117953755959,0.44507395286972923,7.317907833945291
RXC J0032.1+1808,holdout,field_weighted__w20__f0.4,field_weighted,20.0,0.4,0.04928610103209893,0.7552157839248472,0.4490497353063532,5.462419082545894
RXC J0032.1+1808,holdout,field_weighted__w20__f0.6,field_weighted,20.0,0.6,0.05008570008026605,0.7107163561677536,0.4578621680574682,4.599585343284805
RXC J0032.1+1808,holdout,field_weighted__w20__f0.8,field_weighted,20.0,0.8,0.051808170479197654,0.6619731718434614,0.4712399855719209,5.244641489798183
RXC J0032.1+1808,holdout,field_weighted__w20__f1,field_weighted,20.0,1.0,0.05459779814427797,0.6141967234444784,0.48880849212071054,6.992013966834589
RXC J0032.1+1808,holdout,field_weighted__w50__f0.05,field_weighted,50.0,0.05,0.049863645032239196,0.8009415109531985,0.44504182945476223,9.181184211086393
RXC J0032.1+1808,holdout,field_weighted__w50__f0.1,field_weighted,50.0,0.1,0.04960034538880226,0.8029827525173616,0.44422902727024327,8.759875614320475
RXC J0032.1+1808,holdout,field_weighted__w50__f0.2,field_weighted,50.0,0.2,0.04918245997930548,0.803426632607333,0.44323634306715304,7.934211240709908
RXC J0032.1+1808,holdout,field_weighted__w50__f0.4,field_weighted,50.0,0.4,0.04878603106920549,0.7906393285102795,0.4437961570944501,6.381160813802059
RXC J0032.1+1808,holdout,field_weighted__w50__f0.6,field_weighted,50.0,0.6,0.048989904478340354,0.7630256734700795,0.44773090230651047,5.059640282331307
RXC J0032.1+1808,holdout,field_weighted__w50__f0.8,field_weighted,50.0,0.8,0.049822090891823614,0.7259093603936572,0.4549530209821049,4.194513961971593
RXC J0032.1+1808,holdout,field_weighted__w50__f1,field_weighted,50.0,1.0,0.051326038356960035,0.6843233745144286,0.4653094672510184,4.086707244635784
RXC J0032.1+1808,holdout,field_weighted__w100__f0.05,field_weighted,100.0,0.05,0.050338783881873995,0.8019003531039577,0.4466898561944805,9.435709736675687
RXC J0032.1+1808,holdout,field_weighted__w100__f0.1,field_weighted,100.0,0.1,0.05055801966465012,0.8048745528349625,0.4475683793030061,9.264488786881408
RXC J0032.1+1808,holdout,field_weighted__w100__f0.2,field_weighted,100.0,0.2,0.05112735074422595,0.806618838802418,0.45007757932319725,8.92277426030727
RXC J0032.1+1808,holdout,field_weighted__w100__f0.4,field_weighted,100.0,0.4,0.05279415795630139,0.7908626341460849,0.4580382677850115,8.242676423933412
RXC J0032.1+1808,holdout,field_weighted__w100__f0.6,field_weighted,100.0,0.6,0.05518133979585417,0.748742412782118,0.4697455941354007,7.568017323989702
RXC J0032.1+1808,holdout,field_weighted__w100__f0.8,field_weighted,100.0,0.8,0.05832055232006133,0.6858283293336132,0.48492827590460114,6.900392398988697
RXC J0032.1+1808,holdout,field_weighted__w100__f1,field_weighted,100.0,1.0,0.06226027777430434,0.6119863376910826,0.5032718782547451,6.242059096252911
RXC J0032.1+1808,holdout,tidal_weighted__w20__f0.05,tidal_weighted,20.0,0.05,0.04919885125333147,0.7975801313822367,0.4418170232313703,8.550179809607268
RXC J0032.1+1808,holdout,tidal_weighted__w20__f0.1,tidal_weighted,20.0,0.1,0.04832372621247284,0.7950723051206496,0.4381585109950875,7.496185365561673
RXC J0032.1+1808,holdout,tidal_weighted__w20__f0.2,tidal_weighted,20.0,0.2,0.04683519040776124,0.7846834185114985,0.4326647107433612,5.4041191216951665
RXC J0032.1+1808,holdout,tidal_weighted__w20__f0.4,tidal_weighted,20.0,0.4,0.04488059630015072,0.7523591396302307,0.42924257592955223,1.605301247492891
RXC J0032.1+1808,holdout,tidal_weighted__w20__f0.6,tidal_weighted,20.0,0.6,0.044279420399408694,0.7162370780849173,0.4360327423203774,3.523479767162953
RXC J0032.1+1808,holdout,tidal_weighted__w20__f0.8,tidal_weighted,20.0,0.8,0.045080382273486416,0.6825095590379495,0.4525757860038583,7.662783841704412
RXC J0032.1+1808,holdout,tidal_weighted__w20__f1,tidal_weighted,20.0,1.0,0.04742747866409402,0.6529190639376972,0.4778598728658661,11.894832142591902
