radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
3.2344759148768217e-12,1.0,1.0
3.276469748319118e-12,1.0,1.0
3.319008795914677e-12,1.0,1.0
3.3621001362854913e-12,1.0,1.0
3.4057509399566855e-12,1.0,1.0
3.449968470549716e-12,1.0,1.0
3.4947600859910553e-12,1.0,1.0
3.5401332397365773e-12,1.0,1.0
3.5860954820118288e-12,1.0,1.0
3.632654461068413e-12,1.0,1.0
3.679817924456679e-12,1.0,1.0
3.727593720314938e-12,1.0,1.0
3.7759897986754155e-12,1.0,1.0
3.82501421278716e-12,1.0,1.0
3.874675120456128e-12,1.0,1.0
3.9249807854026676e-12,1.0,1.0
3.975939578636622e-12,1.0,1.0
4.027559979850294e-12,1.0,1.0
4.079850578829489e-12,1.0,1.0
4.132820076882884e-12,1.0,1.0
4.186477288289947e-12,1.0,1.0
4.240831141767659e-12,1.0,1.0
4.295890681956283e-12,1.0,1.0
4.3516650709244114e-12,1.0,1.0
4.40816358969357e-12,1.0,1.0
4.465395639782598e-12,1.0,1.0
4.5233707447720965e-12,1.0,1.0
4.582098551889172e-12,1.0,1.0
4.6415888336127725e-12,1.0,1.0
4.701851489299847e-12,1.0,1.0
4.762896546832634e-12,1.0,1.0
4.8247341642873295e-12,1.0,1.0
4.887374631624417e-12,1.0,1.0
4.950828372400952e-12,1.0,1.0
5.015105945505069e-12,1.0,1.0
5.080218046913012e-12,1.0,1.0
5.146175511468978e-12,1.0,1.0
5.2129893146880636e-12,1.0,1.0
5.280670574582626e-12,1.0,1.0
5.349230553512351e-12,1.0,1.0
5.418680660058365e-12,1.0,1.0
5.489032450921569e-12,1.0,1.0
5.560297632845837e-12,1.0,1.0
5.632488064565967e-12,1.0,1.0
5.705615758781032e-12,1.0,1.0
5.779692884153325e-12,1.0,1.0
5.854731767333261e-12,1.0,1.0
5.93074489501057e-12,1.0,1.0
6.007744915992118e-12,1.0,1.0
6.085744643306699e-12,1.0,1.0
6.164757056337174e-12,1.0,1.0
6.244795302980263e-12,1.0,1.0
6.325872701834407e-12,1.0,1.0
6.408002744416009e-12,1.0,1.0
6.491199097404475e-12,1.0,1.0
6.575475604916378e-12,1.0,1.0
6.660846290809168e-12,1.0,1.0
6.747325361014775e-12,1.0,1.0
6.834927205903524e-12,1.0,1.0
6.9236664026787344e-12,1.0,1.0
7.013557717802405e-12,1.0,1.0
7.104616109452398e-12,1.0,1.0
7.1968567300115285e-12,1.0,1.0
